cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010-10,100.0,25.806451612903224,14.78494623655914,12.365591397849462,8.870967741935484,8.333333333333332,13.172043010752688,13.709677419354838,10.75268817204301,9.408602150537634,10.483870967741936,13.172043010752688,19.086021505376344,23.387096774193548,6.989247311827956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,100.0,17.53846153846154,9.230769230769232,9.538461538461538,8.0,8.307692307692308,13.230769230769232,9.538461538461538,8.615384615384615,9.230769230769232,11.384615384615385,14.461538461538462,25.538461538461537,6.153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12,100.0,9.090909090909092,5.194805194805195,9.090909090909092,11.688311688311687,6.493506493506493,5.194805194805195,9.090909090909092,5.194805194805195,3.896103896103896,9.090909090909092,19.480519480519483,2.5974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01,100.0,15.277777777777779,20.833333333333336,19.444444444444446,20.833333333333336,13.88888888888889,15.277777777777779,12.5,11.11111111111111,20.833333333333336,25.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02,100.0,16.129032258064516,15.32258064516129,18.548387096774192,21.774193548387096,15.32258064516129,15.32258064516129,14.516129032258066,14.516129032258066,17.741935483870968,5.64516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03,100.0,17.97752808988764,21.34831460674157,19.101123595505616,22.47191011235955,15.168539325842698,20.786516853932586,20.224719101123593,24.15730337078652,9.550561797752808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04,100.0,24.528301886792452,19.81132075471698,19.81132075471698,17.92452830188679,23.58490566037736,17.92452830188679,25.471698113207548,11.320754716981133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05,100.0,23.893805309734514,23.893805309734514,15.929203539823009,21.238938053097346,20.353982300884958,25.663716814159294,10.619469026548673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06,100.0,23.14814814814815,21.296296296296298,26.851851851851855,20.37037037037037,28.703703703703702,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07,100.0,21.782178217821784,30.693069306930692,27.722772277227726,34.65346534653465,15.841584158415841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08,100.0,27.102803738317753,29.906542056074763,27.102803738317753,16.822429906542055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09,100.0,27.419354838709676,38.17204301075269,15.053763440860216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10,100.0,32.126696832579185,15.837104072398189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11,100.0,14.210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
